symbol,ca,datetime_utc,open,high,low,close,volume
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:49,8.425138734131949e-05,8.597898258217435e-05,8.308159189446665e-05,8.597898258217435e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:50,8.597898258217435e-05,8.603521662382436e-05,8.579322337560204e-05,8.579322337560204e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:51,8.579322337560204e-05,8.59609658690934e-05,8.380724762098397e-05,8.380724762098397e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:52,8.380724762098397e-05,8.507950008661932e-05,8.380724762098397e-05,8.507950008661932e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:53,8.507950008661932e-05,8.507950008661932e-05,7.209472004235169e-05,7.347253197369764e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:54,7.347253197369764e-05,7.474310736388131e-05,7.241583255597008e-05,7.474310736388131e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:55,7.474310736388131e-05,7.661364623253498e-05,7.474310736388131e-05,7.497282210669466e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:56,7.497282210669466e-05,7.497282210669466e-05,7.470792525205267e-05,7.470792525205267e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:57,7.470792525205267e-05,8.131855406814744e-05,7.470792525205267e-05,8.131855406814744e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:58,8.131855406814744e-05,8.151311796549613e-05,7.796724700044659e-05,7.80108161428912e-05,
